date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:08:03	288/288	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Dec%202020%2023:08:03%20GMT	https://zerstor.store/robots.txt		(from )
23:08:04	12826/12826	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2023:08:03%20GMT	https://zerstor.store/	C:/My%20Web%20Sites/dummy2/zerstor.store/index.html	(from )
23:08:05	140930/140930	---MCZ	200	added ('OK')	text/css	etag:W/%2222682-577d73b4b0700%22	https://zerstor.store/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/css/bootstrap.min.css	(from https://zerstor.store/)
23:08:05	14782/14782	---MCZ	200	added ('OK')	text/css	etag:W/%2239be-56944c4713780%22	https://zerstor.store/assets/fonts/line-icons.css	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/fonts/line-icons.css	(from https://zerstor.store/)
23:08:05	3248/3248	---MCZ	200	added ('OK')	text/css	etag:W/%22cb0-5682bef3a2180%22	https://zerstor.store/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/css/owl.carousel.min.css	(from https://zerstor.store/)
23:08:06	1380/1380	---MCZ	200	added ('OK')	text/css	etag:W/%22564-569104abf5680%22	https://zerstor.store/assets/css/owl.theme.css	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/css/owl.theme.css	(from https://zerstor.store/)
23:08:06	57095/57095	---MCZ	200	added ('OK')	text/css	etag:W/%22df07-561ce2e177600%22	https://zerstor.store/assets/css/animate.css	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/css/animate.css	(from https://zerstor.store/)
23:08:07	25822/25822	---MCZ	200	added ('OK')	text/css	etag:W/%2264de-57ae1bb68ef80%22	https://zerstor.store/assets/css/main.css	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/css/main.css	(from https://zerstor.store/)
23:08:07	3674/3674	---MCZ	200	added ('OK')	text/css	etag:W/%22e5a-57abacbb9a400%22	https://zerstor.store/assets/css/responsive.css	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/css/responsive.css	(from https://zerstor.store/)
23:08:08	371/371	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Dec%202020%2023:08:07%20GMT	https://zerstor.store/index.html	C:/My%20Web%20Sites/dummy2/zerstor.store/index-2.html	(from https://zerstor.store/)
23:08:08	65861/65861	---M--	200	added ('OK')	image/png	etag:%2210145-57b474a1f1a00%22	https://zerstor.store/assets/img/intro-mobile.png	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/img/intro-mobile.png	(from https://zerstor.store/)
23:08:09	73833/73833	---M--	200	added ('OK')	image/png	etag:%2212069-57b474b6ecb80%22	https://zerstor.store/assets/img/about/img-1.png	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/img/about/img-1.png	(from https://zerstor.store/)
23:08:10	84345/84345	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214979-5454bfe7caa80%22	https://zerstor.store/assets/js/jquery-min.js	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/js/jquery-min.js	(from https://zerstor.store/)
23:08:10	19038/19038	---MCZ	200	added ('OK')	application/javascript	etag:W/%224a5e-55d5d5b244a80%22	https://zerstor.store/assets/js/popper.min.js	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/js/popper.min.js	(from https://zerstor.store/)
23:08:11	50731/50731	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c62b-577d73b4b0700%22	https://zerstor.store/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/js/bootstrap.min.js	(from https://zerstor.store/)
23:08:11	44227/44227	---MCZ	200	added ('OK')	application/javascript	etag:W/%22acc3-5682bef3a2180%22	https://zerstor.store/assets/js/owl.carousel.min.js	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/js/owl.carousel.min.js	(from https://zerstor.store/)
23:08:12	5693/5693	---MCZ	200	added ('OK')	application/javascript	etag:W/%22163d-4f7fbf9c2fc80%22	https://zerstor.store/assets/js/wow.js	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/js/wow.js	(from https://zerstor.store/)
23:08:14	5138/5138	---MCZ	200	added ('OK')	application/javascript	etag:W/%221412-4f4ea7045f480%22	https://zerstor.store/assets/js/jquery.nav.js	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/js/jquery.nav.js	(from https://zerstor.store/)
23:08:15	620/620	---MCZ	200	added ('OK')	application/javascript	etag:W/%2226c-54a146651ee00%22	https://zerstor.store/assets/js/scrolling-nav.js	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/js/scrolling-nav.js	(from https://zerstor.store/)
23:08:16	8097/8097	---MCZ	200	added ('OK')	application/javascript	etag:W/%221fa1-561c3125aa280%22	https://zerstor.store/assets/js/jquery.easing.min.js	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/js/jquery.easing.min.js	(from https://zerstor.store/)
23:08:16	2625/2625	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a41-57badf2494500%22	https://zerstor.store/assets/js/main.js	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/js/main.js	(from https://zerstor.store/)
23:08:16	6055/6055	---MCZ	200	added ('OK')	application/javascript	etag:W/%2217a7-5440cfec25c00%22	https://zerstor.store/assets/js/form-validator.min.js	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/js/form-validator.min.js	(from https://zerstor.store/)
23:08:17	1603/1603	---MCZ	200	added ('OK')	application/javascript	etag:W/%22643-56a8f27e8f780%22	https://zerstor.store/assets/js/contact-form-script.min.js	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/js/contact-form-script.min.js	(from https://zerstor.store/)
23:08:18	101788/101788	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2218d9c-5668b61a14700%22	https://zerstor.store/assets/fonts/LineIcons.eot?tc3uo0	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/fonts/LineIconsa7fb.eot	(from https://zerstor.store/assets/fonts/line-icons.css)
23:08:18	101616/101616	---MCZ	200	added ('OK')	font/ttf	etag:W/%2218cf0-5668b61a14700%22	https://zerstor.store/assets/fonts/LineIcons.ttf?tc3uo0	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/fonts/LineIconsa7fb.ttf	(from https://zerstor.store/assets/fonts/line-icons.css)
23:08:19	101692/101692	---M--	200	added ('OK')	font/woff	etag:%2218d3c-5668b61a14700%22	https://zerstor.store/assets/fonts/LineIcons.woff?tc3uo0	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/fonts/LineIconsa7fb.woff	(from https://zerstor.store/assets/fonts/line-icons.css)
23:08:20	389559/389559	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f1b7-5668b61a14700%22	https://zerstor.store/assets/fonts/LineIcons.svg?tc3uo0	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/fonts/LineIconsa7fb.svg	(from https://zerstor.store/assets/fonts/line-icons.css)
23:08:20	371/371	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Dec%202020%2023:08:19%20GMT	https://zerstor.store/assets/css/owl.video.play.png	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/css/owl.video.play.png	(from https://zerstor.store/assets/css/owl.carousel.min.css)
23:08:20	1327/1327	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2252f-57b4744293900%22	https://zerstor.store/assets/img/hero-area.svg	C:/My%20Web%20Sites/dummy2/zerstor.store/assets/img/hero-area.svg	(from https://zerstor.store/assets/css/main.css)
